"ID","POST_ID","MS_ID","MS_SPACEID","CAP_COLOR","METER_TYPE","SMART_METE","ACTIVESENS","JURISDICTI","ON_OFF_STR","OSP_ID","RATEAREA","SFPARKAREA","STREET_NUM","STREETNAME","STREET_SEG","Location"
"2164","596-00384","596-00380","4","Black","MS","N","N","SFMTA","ON","0","MC3"," ","38","OTIS ST","10046000","(37.772457, -122.419631)"
"646","420-02350","-","0","Black","SS","N","N","SFMTA","ON","0","MC5","Downtown","235","FREMONT ST","5863000","(37.788662, -122.394285)"
"893","324-06236","324-06230","6","Black","MS","N","N","SFMTA","ON","0","MC2"," ","623","BATTERY ST","2761000","(37.797562, -122.400923)"
"70","324-05051","324-05050","1","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","505","BATTERY ST","2760000","(37.796062, -122.400613)"
"2200","561-02178","561-02170","8","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","217","MAIN ST","8629000","(37.790461, -122.393077)"
"1323","651-05023","651-05020","3","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","502","SANSOME ST","11549000","(37.794973, -122.401444)"
"1666","336-07265","336-07260","5","Black","MS","N","N","SFMTA","ON","0","MC1"," ","726","BUSH ST","3437000","(37.790111, -122.409692)"
"1037","651-00261","651-00260","1","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","26","SANSOME ST","11542000","(37.790947, -122.40062)"
"1587","386-02068","386-02060","8","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","206","DRUMM ST","4972000","(37.795776, -122.39669)"
"910","324-06214","324-06210","4","Black","MS","N","N","SFMTA","ON","0","MC2"," ","621","BATTERY ST","2761000","(37.797466, -122.400904)"
"1502","700-06227","700-06220","7","Black","MS","N","N","SFMTA","ON","0","MC5","Mission","622","VALENCIA ST","13062000","(37.76258, -122.421771)"
"810","561-02123","561-02120","3","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","212","MAIN ST","8629000","(37.790196, -122.393001)"
"1880","202-00133","202-00130","3","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","13","02ND ST","129000","(37.78903, -122.400952)"
"1338","460-02014","460-02010","4","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","201","HALLECK ST","6633000","(37.793497, -122.401416)"
"1719","568-02098","568-02090","8","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","209","MISSION ST","9085000","(37.791565, -122.39515)"
"2095","501-01084","501-01080","4","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","108","JESSIE ST","7517000","(37.788273, -122.400621)"
"1412","720-05344","720-05340","4","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","534","WASHINGTON ST","13409000","(37.795623, -122.403013)"
"630","892-00027","892-00001","27","Black","MS","N","N","PORT","OFF","892","PortMC2"," ","0","EMBARCADERO NORTH","12553201","(37.796477, -122.394608)"
"1025","386-02047","386-02040","7","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","204","DRUMM ST","4972000","(37.795687, -122.396672)"
"1470","568-17446","568-17440","6","Black","MS","Y","N","SFMTA","ON","0","MC3"," ","1744","MISSION ST","9113000","(37.76871, -122.420112)"
"366","890-00210","890-00001","21","Black","MS","N","N","PORT","OFF","890","PortMC1"," ","0","TERRY A FRANCOIS BLVD","12531000","(37.77604, -122.387293)"
"1370","211-00055","211-00050","5","Black","MS","N","N","SFMTA","ON","0","MC2"," ","5","11TH ST","508000","(37.775419, -122.418338)"
"139","568-02211","568-02210","1","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","221","MISSION ST","9085000","(37.791496, -122.395236)"
"1824","651-00167","651-00160","7","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","16","SANSOME ST","11542000","(37.790767, -122.400583)"
"1191","354-20333","354-20330","3","Black","MS","N","N","SFMTA","ON","0","MC5","Marina","2033","CHESTNUT ST","3978000","(37.800605, -122.437413)"
"1169","324-09342","324-09340","2","Black","MS","N","N","SFMTA","ON","0","MC3"," ","934","BATTERY ST","2764000","(37.800295, -122.401316)"
"761","445-06074","445-06070","4","Black","MS","N","N","SFMTA","ON","0","MC3"," ","607","GREEN ST","6454000","(37.799412, -122.409372)"
"102","700-05530","-","0","Black","SS","Y","N","SFMTA","ON","0","MC5","Mission","553","VALENCIA ST","13060000","(37.763615, -122.421653)"
"2110","561-00142","561-00140","2","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","14","MAIN ST","8627000","(37.792743, -122.396189)"
"2132","561-00314","561-00310","4","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","31","MAIN ST","8627000","(37.792649, -122.395815)"
"1455","568-17464","568-17460","4","Black","MS","Y","N","SFMTA","ON","0","MC3"," ","1746","MISSION ST","9113000","(37.768663, -122.420107)"
"2032","413-07055","413-07050","5","Black","MS","N","N","SFMTA","ON","0","MC3"," ","705","FILBERT ST","5504000","(37.801099, -122.411083)"
"1634","463-00392","463-00390","2","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","39","HAWTHORNE ST","6809000","(37.784921, -122.398055)"
