"objectid","ID","STREET","SIDE","LOCATION_","Z_OF_UNMET","LEGISLATIO","DESCRIPTIO","LEG_DATE","shape","data_as_of","analysis_neighborhood","supervisor_district"
"12","86","STEINER ST","E","1000 STEINER ST","6","73-04","FROM 1000 FEET TO 1006 FEET","1899-12-29T16:00:00.000000000-08:00","POINT (-122.433569267 37.77868774)","2018-02-09T23:59:20.000000000-08:00","Western Addition","5"
"117","8","32ND AVE","E","N. ANZA ST.","4",,,,"POINT (-122.492006803 37.778103281)","2018-02-12T20:45:41.000000000-08:00","Outer Richmond","1"
"62","0","21ST ST","S","2965 21ST ST","3",,"FROM 2965 TO 2971 21ST ST","2007-04-23T17:00:00.000000000-07:00","POINT (-122.414031063 37.757444008)","2018-02-09T23:59:20.000000000-08:00","Mission","9"
"29","0","DORLAND ST","S","285 DORLAND ST","3","63-06","BETWEEN 285 AND 295 DORLAND","1899-12-29T16:00:00.000000000-08:00","POINT (-122.429570687 37.761991111)","2018-02-09T23:59:20.000000000-08:00","Castro/Upper Market","8"
"19","94","CARL ST","N","E. WILLARD ST","4","60-05","FROM 13 FEET TO 27 FEET EASTERLY","2006-01-09T16:00:00.000000000-08:00","POINT (-122.454128166 37.765386269)","2018-02-09T23:59:20.000000000-08:00","Inner Sunset","8"
"83","0","WASHINGTON ST","S","1435 WASHINGTON ST","2",,"1435 WASHINGTON ST TO 11 FT EAST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.416864785 37.793750912)","2018-02-09T23:59:20.000000000-08:00","Russian Hill","3"
"100","0","SCOTT ST","E","SCOTT ST AT GROVE ST","4","417-05","FROM GROVE ST TO 16 FEET SOUTHERLY","2005-05-19T17:00:00.000000000-07:00","POINT (-122.43620441 37.776151467)","2018-02-09T23:59:20.000000000-08:00","Hayes Valley","5"
"127","0","PHELAN AVE","W","SOUTH OF CLOUD CIRCLE","33",,"60FT SOUTH END OF CLOUD CIRCLE","1899-12-29T16:00:00.000000000-08:00","POINT (-122.452479653 37.724333455)","2018-02-12T20:42:23.000000000-08:00","West of Twin Peaks","7"
"72","0","ASHBURY ST","WS","W OF ASHBURY N OF WALLER","7","11-023","13 TO 39 FT NORTH OF WALLER","1899-12-29T16:00:00.000000000-08:00","POINT (-122.44690863 37.769288173)","2018-02-09T23:59:20.000000000-08:00","Haight Ashbury","5"
"45","41","RITCH ST","W","N. 230-236 RITCH ST.","3","951-00","FROM 25' TO 35.5' S. OF NORTH PR","2000-11-08T16:00:00.000000000-08:00","POINT (-122.396111066 37.780591782)","2018-02-12T20:38:25.000000000-08:00","South of Market","6"
